Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,AU,12.7037,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,IR,6.3436,PPM,QFH,5.3,5.475533981,5.78,5.475533981,6.26,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,PD,146.0973,PPM,QWH,135.52,137.5825243,141.16,137.5825243,146.79,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,PT,130.0824,PPM,QWH,120.05,122.1527508,125.8,122.1527508,131.55,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,RH,19.3168,PPM,CPL,18.44,18.79106796,19.4,18.79106796,20.35,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903525,ICP_CPGM_B,RU,30.263,PPM,QFH,27.07,27.47226537,28.17,27.47226537,29.26,6/7/2023 15:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,CO,0.293,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,6/8/2023 9:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,CR,1.3,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,6/8/2023 9:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,CR2O3,1.904,%,CPL,,,,,,6/8/2023 9:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,CU,8.09,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,6/8/2023 9:35
WS_SMR,6/7/2023 12:54,AMIS0463,8903517,ICP_CBM_B,FE,32.5,%,CPL,31.02,31.87572816,33.36,31.87572816,35.7,6/8/2023 9:35
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,CR,1.3,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916930,ICP_CBM_A,CU,8.09,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,9/8/2023 7:20
WS_SMR,9/7/2023 9:12,AMIS0463,8916934,ICP_CBM_B,CO,0.299,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,9/8/2023 7:20
